welcome to bug territory, enjoy your stay new
Player 1 : Player 2 : Total     0 : 1 : 1        moving average 500:   0.0% (max - stddev = -2.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     0 : 2 : 2        moving average 500:   0.0% (max - stddev = -2.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     1 : 2 : 3        moving average 500:   0.2% (max - stddev = -1.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     1 : 3 : 4        moving average 500:   0.2% (max - stddev = -1.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     2 : 3 : 5        moving average 500:   0.4% (max - stddev = -1.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     3 : 3 : 6        moving average 500:   0.6% (max - stddev = -1.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     4 : 3 : 7        moving average 500:   0.8% (max - stddev = -1.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     5 : 3 : 8        moving average 500:   1.0% (max - stddev = -1.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     6 : 3 : 9        moving average 500:   1.2% (max - stddev = -0.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     7 : 3 : 10        moving average 500:   1.4% (max - stddev = -0.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     8 : 3 : 11        moving average 500:   1.6% (max - stddev = -0.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     9 : 3 : 12        moving average 500:   1.8% (max - stddev = -0.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     10 : 3 : 13        moving average 500:   2.0% (max - stddev = 0.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     11 : 3 : 14        moving average 500:   2.2% (max - stddev = 0.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     12 : 3 : 15        moving average 500:   2.4% (max - stddev = 0.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     13 : 3 : 16        moving average 500:   2.6% (max - stddev = 0.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     13 : 4 : 17        moving average 500:   2.6% (max - stddev = 0.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     14 : 4 : 18        moving average 500:   2.8% (max - stddev = 0.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     15 : 4 : 19        moving average 500:   3.0% (max - stddev = 1.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     15 : 5 : 20        moving average 500:   3.0% (max - stddev = 1.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     15 : 6 : 21        moving average 500:   3.0% (max - stddev = 1.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     16 : 6 : 22        moving average 500:   3.2% (max - stddev = 1.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     17 : 6 : 23        moving average 500:   3.4% (max - stddev = 1.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     18 : 6 : 24        moving average 500:   3.6% (max - stddev = 1.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     18 : 7 : 25        moving average 500:   3.6% (max - stddev = 1.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     18 : 8 : 26        moving average 500:   3.6% (max - stddev = 1.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     19 : 8 : 27        moving average 500:   3.8% (max - stddev = 1.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     19 : 9 : 28        moving average 500:   3.8% (max - stddev = 1.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     19 : 10 : 29        moving average 500:   3.8% (max - stddev = 1.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     20 : 10 : 30        moving average 500:   4.0% (max - stddev = 2.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     21 : 10 : 31        moving average 500:   4.2% (max - stddev = 2.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     22 : 10 : 32        moving average 500:   4.4% (max - stddev = 2.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     23 : 10 : 33        moving average 500:   4.6% (max - stddev = 2.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     23 : 11 : 34        moving average 500:   4.6% (max - stddev = 2.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     24 : 11 : 35        moving average 500:   4.8% (max - stddev = 2.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     25 : 11 : 36        moving average 500:   5.0% (max - stddev = 3.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     25 : 12 : 37        moving average 500:   5.0% (max - stddev = 3.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     26 : 12 : 38        moving average 500:   5.2% (max - stddev = 3.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     27 : 12 : 39        moving average 500:   5.4% (max - stddev = 3.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     28 : 12 : 40        moving average 500:   5.6% (max - stddev = 3.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     28 : 13 : 41        moving average 500:   5.6% (max - stddev = 3.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     29 : 13 : 42        moving average 500:   5.8% (max - stddev = 3.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     30 : 13 : 43        moving average 500:   6.0% (max - stddev = 4.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     30 : 14 : 44        moving average 500:   6.0% (max - stddev = 4.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     31 : 14 : 45        moving average 500:   6.2% (max - stddev = 4.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     32 : 14 : 46        moving average 500:   6.4% (max - stddev = 4.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     32 : 15 : 47        moving average 500:   6.4% (max - stddev = 4.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     33 : 15 : 48        moving average 500:   6.6% (max - stddev = 4.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     34 : 15 : 49        moving average 500:   6.8% (max - stddev = 4.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     34 : 16 : 50        moving average 500:   6.8% (max - stddev = 4.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     34 : 17 : 51        moving average 500:   6.8% (max - stddev = 4.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     34 : 18 : 52        moving average 500:   6.8% (max - stddev = 4.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     34 : 19 : 53        moving average 500:   6.8% (max - stddev = 4.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     34 : 20 : 54        moving average 500:   6.8% (max - stddev = 4.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     35 : 20 : 55        moving average 500:   7.0% (max - stddev = 5.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     35 : 21 : 56        moving average 500:   7.0% (max - stddev = 5.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     35 : 22 : 57        moving average 500:   7.0% (max - stddev = 5.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     36 : 22 : 58        moving average 500:   7.2% (max - stddev = 5.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     36 : 23 : 59        moving average 500:   7.2% (max - stddev = 5.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     37 : 23 : 60        moving average 500:   7.4% (max - stddev = 5.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     38 : 23 : 61        moving average 500:   7.6% (max - stddev = 5.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     39 : 23 : 62        moving average 500:   7.8% (max - stddev = 5.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     40 : 23 : 63        moving average 500:   8.0% (max - stddev = 6.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     41 : 23 : 64        moving average 500:   8.2% (max - stddev = 6.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     41 : 24 : 65        moving average 500:   8.2% (max - stddev = 6.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     41 : 25 : 66        moving average 500:   8.2% (max - stddev = 6.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     42 : 25 : 67        moving average 500:   8.4% (max - stddev = 6.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     42 : 26 : 68        moving average 500:   8.4% (max - stddev = 6.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     42 : 27 : 69        moving average 500:   8.4% (max - stddev = 6.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     43 : 27 : 70        moving average 500:   8.6% (max - stddev = 6.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     43 : 28 : 71        moving average 500:   8.6% (max - stddev = 6.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     43 : 29 : 72        moving average 500:   8.6% (max - stddev = 6.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     43 : 30 : 73        moving average 500:   8.6% (max - stddev = 6.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     44 : 30 : 74        moving average 500:   8.8% (max - stddev = 6.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     45 : 30 : 75        moving average 500:   9.0% (max - stddev = 7.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     45 : 31 : 76        moving average 500:   9.0% (max - stddev = 7.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     45 : 32 : 77        moving average 500:   9.0% (max - stddev = 7.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     45 : 33 : 78        moving average 500:   9.0% (max - stddev = 7.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     46 : 33 : 79        moving average 500:   9.2% (max - stddev = 7.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     46 : 34 : 80        moving average 500:   9.2% (max - stddev = 7.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     46 : 35 : 81        moving average 500:   9.2% (max - stddev = 7.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     46 : 36 : 82        moving average 500:   9.2% (max - stddev = 7.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     46 : 37 : 83        moving average 500:   9.2% (max - stddev = 7.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     46 : 38 : 84        moving average 500:   9.2% (max - stddev = 7.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     46 : 39 : 85        moving average 500:   9.2% (max - stddev = 7.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     46 : 40 : 86        moving average 500:   9.2% (max - stddev = 7.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     46 : 41 : 87        moving average 500:   9.2% (max - stddev = 7.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     46 : 42 : 88        moving average 500:   9.2% (max - stddev = 7.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     46 : 43 : 89        moving average 500:   9.2% (max - stddev = 7.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     46 : 44 : 90        moving average 500:   9.2% (max - stddev = 7.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     46 : 45 : 91        moving average 500:   9.2% (max - stddev = 7.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     46 : 46 : 92        moving average 500:   9.2% (max - stddev = 7.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     46 : 47 : 93        moving average 500:   9.2% (max - stddev = 7.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     46 : 48 : 94        moving average 500:   9.2% (max - stddev = 7.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     46 : 49 : 95        moving average 500:   9.2% (max - stddev = 7.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     47 : 49 : 96        moving average 500:   9.4% (max - stddev = 7.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     47 : 50 : 97        moving average 500:   9.4% (max - stddev = 7.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     48 : 50 : 98        moving average 500:   9.6% (max - stddev = 7.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     49 : 50 : 99        moving average 500:   9.8% (max - stddev = 7.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     50 : 50 : 100        moving average 500:   10.0% (max - stddev = 8.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     50 : 51 : 101        moving average 500:   10.0% (max - stddev = 8.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     50 : 52 : 102        moving average 500:   10.0% (max - stddev = 8.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     50 : 53 : 103        moving average 500:   10.0% (max - stddev = 8.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     50 : 54 : 104        moving average 500:   10.0% (max - stddev = 8.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     51 : 54 : 105        moving average 500:   10.2% (max - stddev = 8.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     52 : 54 : 106        moving average 500:   10.4% (max - stddev = 8.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     53 : 54 : 107        moving average 500:   10.6% (max - stddev = 8.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     53 : 55 : 108        moving average 500:   10.6% (max - stddev = 8.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     54 : 55 : 109        moving average 500:   10.8% (max - stddev = 8.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     55 : 55 : 110        moving average 500:   11.0% (max - stddev = 9.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     55 : 56 : 111        moving average 500:   11.0% (max - stddev = 9.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     56 : 56 : 112        moving average 500:   11.2% (max - stddev = 9.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     56 : 57 : 113        moving average 500:   11.2% (max - stddev = 9.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     56 : 58 : 114        moving average 500:   11.2% (max - stddev = 9.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     56 : 59 : 115        moving average 500:   11.2% (max - stddev = 9.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     56 : 60 : 116        moving average 500:   11.2% (max - stddev = 9.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     56 : 61 : 117        moving average 500:   11.2% (max - stddev = 9.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     56 : 62 : 118        moving average 500:   11.2% (max - stddev = 9.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     57 : 62 : 119        moving average 500:   11.4% (max - stddev = 9.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     57 : 63 : 120        moving average 500:   11.4% (max - stddev = 9.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     57 : 64 : 121        moving average 500:   11.4% (max - stddev = 9.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     57 : 65 : 122        moving average 500:   11.4% (max - stddev = 9.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     58 : 65 : 123        moving average 500:   11.6% (max - stddev = 9.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     58 : 66 : 124        moving average 500:   11.6% (max - stddev = 9.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     59 : 66 : 125        moving average 500:   11.8% (max - stddev = 9.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     59 : 67 : 126        moving average 500:   11.8% (max - stddev = 9.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     59 : 68 : 127        moving average 500:   11.8% (max - stddev = 9.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     59 : 69 : 128        moving average 500:   11.8% (max - stddev = 9.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     59 : 70 : 129        moving average 500:   11.8% (max - stddev = 9.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     59 : 71 : 130        moving average 500:   11.8% (max - stddev = 9.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     60 : 71 : 131        moving average 500:   12.0% (max - stddev = 10.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     60 : 72 : 132        moving average 500:   12.0% (max - stddev = 10.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     60 : 73 : 133        moving average 500:   12.0% (max - stddev = 10.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     60 : 74 : 134        moving average 500:   12.0% (max - stddev = 10.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     60 : 75 : 135        moving average 500:   12.0% (max - stddev = 10.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     60 : 76 : 136        moving average 500:   12.0% (max - stddev = 10.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     61 : 76 : 137        moving average 500:   12.2% (max - stddev = 10.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     61 : 77 : 138        moving average 500:   12.2% (max - stddev = 10.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     62 : 77 : 139        moving average 500:   12.4% (max - stddev = 10.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     62 : 78 : 140        moving average 500:   12.4% (max - stddev = 10.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     63 : 78 : 141        moving average 500:   12.6% (max - stddev = 10.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     64 : 78 : 142        moving average 500:   12.8% (max - stddev = 10.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     64 : 79 : 143        moving average 500:   12.8% (max - stddev = 10.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     64 : 80 : 144        moving average 500:   12.8% (max - stddev = 10.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     64 : 81 : 145        moving average 500:   12.8% (max - stddev = 10.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     64 : 82 : 146        moving average 500:   12.8% (max - stddev = 10.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     65 : 82 : 147        moving average 500:   13.0% (max - stddev = 11.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     65 : 83 : 148        moving average 500:   13.0% (max - stddev = 11.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     65 : 84 : 149        moving average 500:   13.0% (max - stddev = 11.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     65 : 85 : 150        moving average 500:   13.0% (max - stddev = 11.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     65 : 86 : 151        moving average 500:   13.0% (max - stddev = 11.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     65 : 87 : 152        moving average 500:   13.0% (max - stddev = 11.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     65 : 88 : 153        moving average 500:   13.0% (max - stddev = 11.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     65 : 89 : 154        moving average 500:   13.0% (max - stddev = 11.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     66 : 89 : 155        moving average 500:   13.2% (max - stddev = 11.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     66 : 90 : 156        moving average 500:   13.2% (max - stddev = 11.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     66 : 91 : 157        moving average 500:   13.2% (max - stddev = 11.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     66 : 92 : 158        moving average 500:   13.2% (max - stddev = 11.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     66 : 93 : 159        moving average 500:   13.2% (max - stddev = 11.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     66 : 94 : 160        moving average 500:   13.2% (max - stddev = 11.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     66 : 95 : 161        moving average 500:   13.2% (max - stddev = 11.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     66 : 96 : 162        moving average 500:   13.2% (max - stddev = 11.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     66 : 97 : 163        moving average 500:   13.2% (max - stddev = 11.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     67 : 97 : 164        moving average 500:   13.4% (max - stddev = 11.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     67 : 98 : 165        moving average 500:   13.4% (max - stddev = 11.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     67 : 99 : 166        moving average 500:   13.4% (max - stddev = 11.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     67 : 100 : 167        moving average 500:   13.4% (max - stddev = 11.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     67 : 101 : 168        moving average 500:   13.4% (max - stddev = 11.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     67 : 102 : 169        moving average 500:   13.4% (max - stddev = 11.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     67 : 103 : 170        moving average 500:   13.4% (max - stddev = 11.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     67 : 104 : 171        moving average 500:   13.4% (max - stddev = 11.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     68 : 104 : 172        moving average 500:   13.6% (max - stddev = 11.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     68 : 105 : 173        moving average 500:   13.6% (max - stddev = 11.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     68 : 106 : 174        moving average 500:   13.6% (max - stddev = 11.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     68 : 107 : 175        moving average 500:   13.6% (max - stddev = 11.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     68 : 108 : 176        moving average 500:   13.6% (max - stddev = 11.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     69 : 108 : 177        moving average 500:   13.8% (max - stddev = 11.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     69 : 109 : 178        moving average 500:   13.8% (max - stddev = 11.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     69 : 110 : 179        moving average 500:   13.8% (max - stddev = 11.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     69 : 111 : 180        moving average 500:   13.8% (max - stddev = 11.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     69 : 112 : 181        moving average 500:   13.8% (max - stddev = 11.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     69 : 113 : 182        moving average 500:   13.8% (max - stddev = 11.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     69 : 114 : 183        moving average 500:   13.8% (max - stddev = 11.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     69 : 115 : 184        moving average 500:   13.8% (max - stddev = 11.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     69 : 116 : 185        moving average 500:   13.8% (max - stddev = 11.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     70 : 116 : 186        moving average 500:   14.0% (max - stddev = 12.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     70 : 117 : 187        moving average 500:   14.0% (max - stddev = 12.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     70 : 118 : 188        moving average 500:   14.0% (max - stddev = 12.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     70 : 119 : 189        moving average 500:   14.0% (max - stddev = 12.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     70 : 120 : 190        moving average 500:   14.0% (max - stddev = 12.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     71 : 120 : 191        moving average 500:   14.2% (max - stddev = 12.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     72 : 120 : 192        moving average 500:   14.4% (max - stddev = 12.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     72 : 121 : 193        moving average 500:   14.4% (max - stddev = 12.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     72 : 122 : 194        moving average 500:   14.4% (max - stddev = 12.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     72 : 123 : 195        moving average 500:   14.4% (max - stddev = 12.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     72 : 124 : 196        moving average 500:   14.4% (max - stddev = 12.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     72 : 125 : 197        moving average 500:   14.4% (max - stddev = 12.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     72 : 126 : 198        moving average 500:   14.4% (max - stddev = 12.40%), std-dev of this is ~2%
