welcome to bug territory, enjoy your stay new
/home/bitchhunter3000/.local/lib/python3.6/site-packages/torch/nn/functional.py:52: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
Player 1 : Player 2 : Total     1 : 0 : 1        moving average 500:   0.2% (max - stddev = -1.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     2 : 0 : 2        moving average 500:   0.4% (max - stddev = -1.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     2 : 1 : 3        moving average 500:   0.4% (max - stddev = -1.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     2 : 2 : 4        moving average 500:   0.4% (max - stddev = -1.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     2 : 3 : 5        moving average 500:   0.4% (max - stddev = -1.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     3 : 3 : 6        moving average 500:   0.6% (max - stddev = -1.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     3 : 4 : 7        moving average 500:   0.6% (max - stddev = -1.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     3 : 5 : 8        moving average 500:   0.6% (max - stddev = -1.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     4 : 5 : 9        moving average 500:   0.8% (max - stddev = -1.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     4 : 6 : 10        moving average 500:   0.8% (max - stddev = -1.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     5 : 6 : 11        moving average 500:   1.0% (max - stddev = -1.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     6 : 6 : 12        moving average 500:   1.2% (max - stddev = -0.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     7 : 6 : 13        moving average 500:   1.4% (max - stddev = -0.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     8 : 6 : 14        moving average 500:   1.6% (max - stddev = -0.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     8 : 7 : 15        moving average 500:   1.6% (max - stddev = -0.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     9 : 7 : 16        moving average 500:   1.8% (max - stddev = -0.20%), std-dev of this is ~2%
